$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,74,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,74,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,74,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,74,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,74,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,74,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,74,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,74,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,74,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,74,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,73,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,73,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,73,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,73,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,73,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,73,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,73,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,73,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,73,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,73,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,73,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,72,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,72,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,72,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,72,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,72,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,72,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,72,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,72,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,72,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,72,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,72,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,71,4025.62792969,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,71,3720.27661133,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,71,3796.73388672,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,71,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
