,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
144727,0.0,['end'],1,1,2,9,0,0,0,0.0
64157,764.0,"[78918, 65608, 80139, 80249, 65498, 64156]",6,6,8,8,5,3,80249,200.0
80139,599.0,"[96231, 81480, 80138, 94900, 81590, 96121]",5,5,8,7,4,3,96231,200.0
96121,422.0,"[110882, 97572, 112103, 112213, 97462, 96120]",4,4,8,6,3,1,110882,100.0
112103,267.0,"[128195, 113444, 112102, 126864, 113554, 128085]",3,3,8,5,2,4,128085,220.0
128085,145.0,"[129536, 144067, 144177, 129426, 128084, 142846]",2,2,8,4,1,4,144067,220.0
144067,0.0,['end'],1,1,8,3,0,0,0,0.0
80249,599.0,"[95010, 81700, 96231, 96341, 81590, 80248]",5,5,7,8,4,3,96341,200.0
96231,422.0,"[112323, 97572, 96230, 110992, 97682, 112213]",4,4,7,7,3,1,110992,100.0
112213,267.0,"[113664, 128195, 128305, 113554, 112212, 126974]",3,3,7,6,2,4,128195,220.0
128195,145.0,"[129536, 128194, 142956, 129646, 144177, 144287]",2,2,7,5,1,4,144177,220.0
144177,0.0,['end'],1,1,7,4,0,0,0,0.0
96341,422.0,"[97792, 112323, 112433, 97682, 96340, 111102]",4,4,6,8,3,1,111102,100.0
112323,267.0,"[113664, 112322, 127084, 113774, 128305, 128415]",3,3,6,7,2,4,128305,220.0
128305,145.0,"[144397, 129646, 128304, 143066, 129756, 144287]",2,2,6,6,1,4,144287,220.0
144287,0.0,['end'],1,1,6,5,0,0,0,0.0
112433,267.0,"[128525, 113774, 112432, 127194, 113884, 128415]",3,3,5,8,2,4,128415,220.0
128525,145.0,"[144617, 129866, 128524, 143286, 129976, 144507]",2,2,4,8,1,4,144507,220.0
144617,0.0,['end'],1,1,3,8,0,0,0,0.0
128415,145.0,"[143176, 129866, 144397, 144507, 129756, 128414]",2,2,5,7,1,4,144397,220.0
144397,0.0,['end'],1,1,5,6,0,0,0,0.0
144507,0.0,['end'],1,1,4,7,0,0,0,0.0
46844,918.0,"[61605, 48295, 62826, 62936, 48185, 46843]",7,8,8,9,6,4,62826,220.0
61605,764.0,"[77697, 62946, 61604, 76366, 63056, 77587]",6,8,7,9,5,3,77697,200.0
76366,599.0,"[92458, 77707, 76365, 91127, 77817, 92348]",5,8,6,9,4,3,92458,200.0
91127,422.0,"[105888, 92578, 107109, 107219, 92468, 91126]",4,8,5,9,3,1,105888,100.0
62826,764.0,"[78918, 64167, 62825, 77587, 64277, 78808]",6,7,8,8,5,3,78918,200.0
77587,599.0,"[93569, 93679, 78928, 77586, 92348, 79038]",5,7,7,8,4,3,93679,200.0
92348,422.0,"[107109, 93799, 108330, 108440, 93689, 92347]",4,7,6,8,3,1,107109,100.0
107109,267.0,"[123201, 108450, 107108, 121870, 108560, 123091]",3,7,5,8,2,4,123091,220.0
78808,599.0,"[93569, 80259, 94790, 94900, 80149, 78807]",5,6,8,7,4,3,94900,200.0
94790,422.0,"[110882, 96131, 94789, 109551, 96241, 110772]",4,5,8,6,3,1,109551,100.0
110772,267.0,"[126754, 126864, 112113, 110771, 125533, 112223]",3,4,8,5,2,4,126754,220.0
126754,145.0,"[126753, 141515, 128205, 142736, 142846, 128095]",2,3,8,4,1,4,142736,220.0
142736,0.0,['end'],1,2,8,3,0,0,0,0.0
62936,764.0,"[77697, 64387, 78918, 79028, 64277, 62935]",6,7,7,9,5,3,79028,200.0
77697,599.0,"[77696, 92458, 79148, 93679, 93789, 79038]",5,7,6,9,4,3,93789,200.0
92458,422.0,"[108550, 93799, 92457, 107219, 93909, 108440]",4,7,5,9,3,1,107219,100.0
107219,267.0,"[123201, 123311, 108560, 107218, 121980, 108670]",3,7,4,9,2,4,123201,220.0
78918,599.0,"[95010, 80259, 78917, 93679, 80369, 94900]",5,6,7,8,4,3,95010,200.0
93679,422.0,"[109771, 95020, 93678, 108440, 95130, 109661]",4,6,6,8,3,1,108440,100.0
108440,267.0,"[123201, 109891, 124422, 124532, 109781, 108439]",3,6,5,8,2,4,124422,220.0
123201,145.0,"[123200, 137962, 124652, 139183, 139293, 124542]",2,6,4,8,1,4,139183,220.0
94900,422.0,"[110882, 110992, 96241, 94899, 109661, 96351]",4,5,7,7,3,1,109661,100.0
110882,267.0,"[110881, 125643, 112333, 126864, 126974, 112223]",3,4,7,6,2,4,126864,220.0
126864,145.0,"[142956, 128205, 126863, 141625, 128315, 142846]",2,3,7,5,1,4,142846,220.0
142846,0.0,['end'],1,2,7,4,0,0,0,0.0
79028,599.0,"[95010, 95120, 80369, 79027, 93789, 80479]",5,6,6,9,4,3,95120,200.0
95010,422.0,"[95009, 109771, 96461, 110992, 111102, 96351]",4,5,6,8,3,1,109771,100.0
110992,267.0,"[127084, 112333, 110991, 125753, 112443, 126974]",3,4,6,7,2,4,126974,220.0
126974,145.0,"[141735, 128425, 142956, 143066, 128315, 126973]",2,3,6,6,1,4,142956,220.0
142956,0.0,['end'],1,2,6,5,0,0,0,0.0
95120,422.0,"[111212, 96461, 95119, 109881, 96571, 111102]",4,5,5,9,3,1,109881,100.0
111212,267.0,"[127304, 112553, 111211, 125973, 112663, 127194]",3,4,4,9,2,4,127194,220.0
127304,145.0,"[143396, 128645, 127303, 142065, 128755, 143286]",2,3,3,9,1,4,143286,220.0
143396,0.0,['end'],1,2,2,9,0,0,0,0.0
111102,267.0,"[125863, 112553, 127084, 127194, 112443, 111101]",3,4,5,8,2,4,127084,220.0
127084,145.0,"[143176, 128425, 127083, 141845, 128535, 143066]",2,3,5,7,1,4,143066,220.0
143066,0.0,['end'],1,2,5,6,0,0,0,0.0
127194,145.0,"[141955, 128645, 143176, 143286, 128535, 127193]",2,3,4,8,1,4,143176,220.0
143176,0.0,['end'],1,2,4,7,0,0,0,0.0
143286,0.0,['end'],1,2,3,8,0,0,0,0.0
93789,422.0,"[108550, 95240, 109771, 109881, 95130, 93788]",4,6,5,9,3,1,108550,100.0
108550,267.0,"[124642, 109891, 108549, 123311, 110001, 124532]",3,6,4,9,2,4,124532,220.0
123311,145.0,"[139403, 124652, 123310, 138072, 124762, 139293]",2,6,3,9,1,4,139293,220.0
109771,267.0,"[125863, 111112, 109770, 124532, 111222, 125753]",3,5,5,8,2,4,125753,220.0
124532,145.0,"[140514, 140624, 125873, 124531, 139293, 125983]",2,5,4,8,1,4,140514,220.0
109881,267.0,"[124642, 111332, 125863, 125973, 111222, 109880]",3,5,4,9,2,4,125863,220.0
124642,145.0,"[124641, 139403, 126093, 140624, 140734, 125983]",2,5,3,9,1,4,140624,220.0
139403,0.0,['end'],1,5,2,9,0,0,0,0.0
125863,145.0,"[141955, 127204, 125862, 140624, 127314, 141845]",2,4,4,8,1,4,141845,220.0
140624,0.0,['end'],1,4,3,8,0,0,0,0.0
125973,145.0,"[127424, 141955, 142065, 127314, 125972, 140734]",2,4,3,9,1,4,141955,220.0
142065,0.0,['end'],1,3,2,9,0,0,0,0.0
140734,0.0,['end'],1,4,2,9,0,0,0,0.0
33534,918.0,"[48295, 34985, 49516, 49626, 34875, 33533]",8,7,8,9,6,4,49516,220.0
48295,764.0,"[64387, 49636, 48294, 63056, 49746, 64277]",7,7,7,9,5,3,64387,200.0
63056,599.0,"[79148, 64397, 63055, 77817, 64507, 79038]",6,7,6,9,4,3,79148,200.0
77817,422.0,"[92578, 79268, 93799, 93909, 79158, 77816]",5,7,5,9,3,1,92578,100.0
92578,267.0,"[92577, 107339, 94029, 108560, 108670, 93919]",4,7,4,9,2,4,108560,220.0
34985,764.0,"[51077, 36326, 34984, 49746, 36436, 50967]",8,6,7,9,5,3,51077,200.0
49746,599.0,"[65728, 65838, 51087, 49745, 64507, 51197]",7,6,6,9,4,3,65838,200.0
64507,422.0,"[79268, 65958, 80489, 80599, 65848, 64506]",6,6,5,9,3,1,79268,100.0
79268,267.0,"[95360, 80609, 79267, 94029, 80719, 95250]",5,6,4,9,2,4,95250,220.0
94029,145.0,"[110121, 95370, 94028, 108790, 95480, 110011]",4,6,3,9,1,4,110011,220.0
36436,599.0,"[52418, 52528, 37777, 36435, 51197, 37887]",8,5,6,9,4,3,52528,200.0
51197,422.0,"[65958, 52648, 67179, 67289, 52538, 51196]",7,5,5,9,3,1,65958,100.0
65958,267.0,"[82050, 67299, 65957, 80719, 67409, 81940]",6,5,4,9,2,4,81940,220.0
80719,145.0,"[96811, 82060, 80718, 95480, 82170, 96701]",5,5,3,9,1,4,96701,220.0
95480,0.0,['end'],4,5,2,9,0,0,0,0.0
37887,422.0,"[52648, 39338, 53869, 53979, 39228, 37886]",8,4,5,9,3,1,52648,100.0
52648,267.0,"[68740, 53989, 52647, 67409, 54099, 68630]",7,4,4,9,2,4,68630,220.0
67409,145.0,"[83501, 68750, 67408, 82170, 68860, 83391]",6,4,3,9,1,4,83391,220.0
82170,0.0,['end'],5,4,2,9,0,0,0,0.0
39338,267.0,"[55430, 40679, 39337, 54099, 40789, 55320]",8,3,4,9,2,4,55320,220.0
54099,145.0,"[70081, 70191, 55440, 54098, 68860, 55550]",7,3,3,9,1,4,70081,220.0
68860,0.0,['end'],6,3,2,9,0,0,0,0.0
49626,764.0,"[64387, 51077, 65608, 65718, 50967, 49625]",7,6,7,9,5,3,65718,200.0
64387,599.0,"[65728, 64386, 79148, 65838, 80369, 80479]",6,6,6,9,4,2,65728,200.0
79148,422.0,"[95240, 80489, 79147, 93909, 80599, 95130]",5,6,5,9,3,1,93909,100.0
93909,267.0,"[95360, 109891, 110001, 95250, 93908, 108670]",4,6,4,9,2,4,109891,220.0
108670,145.0,"[123431, 110121, 124652, 124762, 110011, 108669]",3,6,3,9,1,4,124652,220.0
51077,599.0,"[67169, 52418, 51076, 65838, 52528, 67059]",7,5,6,9,4,3,67169,200.0
65838,422.0,"[81930, 67179, 65837, 80599, 67289, 81820]",6,5,5,9,3,1,80599,100.0
80599,267.0,"[95360, 82050, 96581, 96691, 81940, 80598]",5,5,4,9,2,4,96581,220.0
95360,145.0,"[110121, 96811, 111342, 111452, 96701, 95359]",4,5,3,9,1,4,111342,220.0
110121,0.0,['end'],3,5,2,9,0,0,0,0.0
52528,422.0,"[68620, 53869, 52527, 67289, 53979, 68510]",7,4,5,9,3,1,67289,100.0
67289,267.0,"[82050, 68740, 83271, 83381, 68630, 67288]",6,4,4,9,2,4,83271,220.0
82050,145.0,"[82049, 96811, 83501, 98032, 98142, 83391]",5,4,3,9,1,4,98032,220.0
96811,0.0,['end'],4,4,2,9,0,0,0,0.0
53979,267.0,"[68740, 55430, 69961, 70071, 55320, 53978]",7,3,4,9,2,4,69961,220.0
68740,145.0,"[84832, 70081, 68739, 83501, 70191, 84722]",6,3,3,9,1,4,84722,220.0
83501,0.0,['end'],5,3,2,9,0,0,0,0.0
55430,145.0,"[71522, 56771, 55429, 70191, 56881, 71412]",7,2,3,9,1,4,71412,220.0
70191,0.0,['end'],6,2,2,9,0,0,0,0.0
17332,990.0,"[33314, 33424, 18673, 17331, 32093, 18783]",9,8,10,8,7,4,33314,220.0
33314,918.0,"[33313, 48075, 34765, 49296, 49406, 34655]",8,7,10,7,6,4,49296,220.0
33424,918.0,"[49516, 34765, 33423, 48185, 34875, 49406]",8,7,9,8,6,4,49406,220.0
49516,764.0,"[65608, 50857, 49515, 64277, 50967, 65498]",7,6,8,8,5,3,65608,200.0
18673,918.0,"[34765, 20014, 18672, 33434, 20124, 34655]",9,7,10,7,6,4,34655,220.0
20014,764.0,"[36106, 21355, 20013, 34775, 21465, 35996]",9,6,10,6,5,3,36106,200.0
21355,599.0,"[37447, 22696, 21354, 36116, 22806, 37337]",9,5,10,5,4,3,37447,200.0
34655,764.0,"[49416, 36106, 50637, 50747, 35996, 34654]",8,6,10,6,5,3,50747,200.0
35996,599.0,"[50757, 37447, 51978, 52088, 37337, 35995]",8,5,10,5,4,3,52088,200.0
37337,422.0,"[52098, 38788, 53319, 53429, 38678, 37336]",8,4,10,4,3,1,52098,100.0
32093,918.0,"[46854, 33544, 48075, 48185, 33434, 32092]",8,8,9,8,6,4,48075,220.0
46854,764.0,"[62946, 48195, 46853, 61615, 48305, 62836]",7,8,8,8,5,3,62946,200.0
61615,599.0,"[77707, 62956, 61614, 76376, 63066, 77597]",6,8,7,8,4,3,77707,200.0
76376,422.0,"[91137, 77827, 92358, 92468, 77717, 76375]",5,8,6,8,3,1,91137,100.0
48075,764.0,"[64167, 49416, 48074, 62836, 49526, 64057]",7,7,9,7,5,3,64167,200.0
62836,599.0,"[78818, 78928, 64177, 62835, 77597, 64287]",6,7,8,7,4,3,78928,200.0
77597,422.0,"[92358, 79048, 93579, 93689, 78938, 77596]",5,7,7,7,3,1,92358,100.0
92358,267.0,"[108450, 93699, 92357, 107119, 93809, 108340]",4,7,6,7,2,4,108340,220.0
48185,764.0,"[62946, 49636, 64167, 64277, 49526, 48184]",7,7,8,8,5,3,64277,200.0
62946,599.0,"[62945, 77707, 64397, 78928, 79038, 64287]",6,7,7,8,4,3,79038,200.0
77707,422.0,"[93799, 79048, 77706, 92468, 79158, 93689]",5,7,6,8,3,1,92468,100.0
92468,267.0,"[108450, 108560, 93809, 92467, 107229, 93919]",4,7,5,8,2,4,108450,220.0
64277,599.0,"[65728, 80259, 80369, 65618, 64276, 79038]",6,6,7,8,4,3,80369,200.0
79038,422.0,"[93799, 80489, 95020, 95130, 80379, 79037]",5,6,6,8,3,1,93799,100.0
93799,267.0,"[109891, 95140, 93798, 108560, 95250, 109781]",4,6,5,8,2,4,109781,220.0
108560,145.0,"[124652, 109901, 108559, 123321, 110011, 124542]",3,6,4,8,1,4,124542,220.0
33434,764.0,"[48195, 34885, 49416, 49526, 34775, 33433]",8,7,9,7,5,3,49526,200.0
48195,599.0,"[49536, 48194, 62956, 49646, 64177, 64287]",7,7,8,7,4,2,49536,200.0
62956,422.0,"[79048, 64297, 62955, 77717, 64407, 78938]",6,7,7,7,3,1,77717,100.0
77717,267.0,"[79168, 93699, 93809, 79058, 77716, 92478]",5,7,6,7,2,4,93699,220.0
34775,599.0,"[49536, 36226, 50757, 50867, 36116, 34774]",8,6,9,6,4,3,50867,200.0
49536,422.0,"[64297, 50987, 65518, 65628, 50877, 49535]",7,6,8,6,3,1,64297,100.0
64297,267.0,"[80389, 65638, 64296, 79058, 65748, 80279]",6,6,7,6,2,4,80279,220.0
79058,145.0,"[95040, 95150, 80399, 79057, 93819, 80509]",5,6,6,6,1,4,95040,220.0
36116,422.0,"[52098, 52208, 37457, 36115, 50877, 37567]",8,5,9,5,3,1,50877,100.0
50877,267.0,"[65638, 52328, 66859, 66969, 52218, 50876]",7,5,8,5,2,4,66859,220.0
18783,918.0,"[33544, 20234, 34765, 34875, 20124, 18782]",9,7,9,8,6,4,34765,220.0
33544,764.0,"[49636, 34885, 33543, 48305, 34995, 49526]",8,7,8,8,5,3,49636,200.0
48305,599.0,"[64397, 49646, 48304, 63066, 49756, 64287]",7,7,7,8,4,3,64397,200.0
63066,422.0,"[77827, 64517, 79048, 79158, 64407, 63065]",6,7,6,8,3,1,77827,100.0
77827,267.0,"[79168, 77826, 92588, 79278, 93809, 93919]",5,7,5,8,2,4,93809,220.0
20234,764.0,"[36326, 21575, 20233, 34995, 21685, 36216]",9,6,8,8,5,3,36326,200.0
34995,599.0,"[50977, 51087, 36336, 34994, 49756, 36446]",8,6,7,8,4,3,51087,200.0
49756,422.0,"[64517, 51207, 65738, 65848, 51097, 49755]",7,6,6,8,3,1,64517,100.0
64517,267.0,"[80609, 65858, 64516, 79278, 65968, 80499]",6,6,5,8,2,4,80499,220.0
79278,145.0,"[95370, 80619, 79277, 94039, 80729, 95260]",5,6,4,8,1,4,95260,220.0
21685,599.0,"[23136, 37667, 37777, 23026, 21684, 36446]",9,5,7,8,4,3,37777,200.0
23136,422.0,"[37897, 24587, 39118, 39228, 24477, 23135]",9,4,6,8,3,1,37897,100.0
36446,422.0,"[51207, 37897, 52428, 52538, 37787, 36445]",8,5,6,8,3,1,51207,100.0
51207,267.0,"[67299, 52548, 51206, 65968, 52658, 67189]",7,5,5,8,2,4,67189,220.0
65968,145.0,"[82060, 67309, 65967, 80729, 67419, 81950]",6,5,4,8,1,4,81950,220.0
80729,0.0,['end'],5,5,3,8,0,0,0,0.0
37897,267.0,"[53989, 39238, 37896, 52658, 39348, 53879]",8,4,5,8,2,4,53879,220.0
52658,145.0,"[68640, 68750, 53999, 52657, 67419, 54109]",7,4,4,8,1,4,68640,220.0
67419,0.0,['end'],6,4,3,8,0,0,0,0.0
34765,764.0,"[50857, 36106, 34764, 49526, 36216, 50747]",8,6,9,7,5,3,50857,200.0
49526,599.0,"[50977, 65508, 65618, 50867, 49525, 64287]",7,6,8,7,4,3,65618,200.0
64287,422.0,"[79048, 65738, 80269, 80379, 65628, 64286]",6,6,7,7,3,1,79048,100.0
79048,267.0,"[95140, 80389, 79047, 93809, 80499, 95030]",5,6,6,7,2,4,95030,220.0
93809,145.0,"[109901, 95150, 93808, 108570, 95260, 109791]",4,6,5,7,1,4,109791,220.0
34875,764.0,"[49636, 36326, 50857, 50967, 36216, 34874]",8,6,8,8,5,3,50967,200.0
49636,599.0,"[65728, 50977, 49635, 64397, 51087, 65618]",7,6,7,8,4,3,65728,200.0
64397,422.0,"[80489, 65738, 64396, 79158, 65848, 80379]",6,6,6,8,3,1,79158,100.0
79158,267.0,"[80609, 95140, 95250, 80499, 79157, 93919]",5,6,5,8,2,4,95140,220.0
93919,145.0,"[108680, 95370, 109901, 110011, 95260, 93918]",4,6,4,8,1,4,109901,220.0
36326,599.0,"[52418, 37667, 36325, 51087, 37777, 52308]",8,5,7,8,4,3,52418,200.0
51087,422.0,"[67179, 52428, 51086, 65848, 52538, 67069]",7,5,6,8,3,1,65848,100.0
65848,267.0,"[80609, 67299, 81830, 81940, 67189, 65847]",6,5,5,8,2,4,81830,220.0
80609,145.0,"[80608, 95370, 82060, 96591, 96701, 81950]",5,5,4,8,1,4,96591,220.0
95370,0.0,['end'],4,5,3,8,0,0,0,0.0
37777,422.0,"[53869, 39118, 37776, 52538, 39228, 53759]",8,4,6,8,3,1,52538,100.0
52538,267.0,"[67299, 53989, 68520, 68630, 53879, 52537]",7,4,5,8,2,4,68520,220.0
67299,145.0,"[68640, 67298, 82060, 68750, 83281, 83391]",6,4,4,8,1,4,83281,220.0
39228,267.0,"[53989, 40679, 55210, 55320, 40569, 39227]",8,3,5,8,2,4,55210,220.0
53989,145.0,"[70081, 55330, 53988, 68750, 55440, 69971]",7,3,4,8,1,4,69971,220.0
50967,599.0,"[65728, 52418, 66949, 67059, 52308, 50966]",7,5,7,8,4,3,67059,200.0
65728,422.0,"[80489, 67179, 81710, 81820, 67069, 65727]",6,5,6,8,3,1,80489,100.0
80489,267.0,"[96581, 81830, 80488, 95250, 81940, 96471]",5,5,5,8,2,4,96471,220.0
95250,145.0,"[111232, 111342, 96591, 95249, 110011, 96701]",4,5,4,8,1,4,111232,220.0
110011,0.0,['end'],3,5,3,8,0,0,0,0.0
52418,422.0,"[52417, 67179, 53869, 68400, 68510, 53759]",7,4,6,8,3,1,67179,100.0
67179,267.0,"[83271, 68520, 67178, 81940, 68630, 83161]",6,4,5,8,2,4,83161,220.0
53869,267.0,"[69961, 55210, 53868, 68630, 55320, 69851]",7,3,5,8,2,4,69851,220.0
68630,145.0,"[70081, 84612, 84722, 69971, 68629, 83391]",6,3,4,8,1,4,84612,220.0
55320,145.0,"[70081, 56771, 71302, 71412, 56661, 55319]",7,2,4,8,1,4,71302,220.0
70081,0.0,['end'],6,2,3,8,0,0,0,0.0
20124,764.0,"[34885, 21575, 36106, 36216, 21465, 20123]",9,6,9,7,5,3,36216,200.0
34885,599.0,"[50977, 36226, 34884, 49646, 36336, 50867]",8,6,8,7,4,3,50977,200.0
49646,422.0,"[65738, 50987, 49645, 64407, 51097, 65628]",7,6,7,7,3,1,64407,100.0
64407,267.0,"[79168, 65858, 80389, 80499, 65748, 64406]",6,6,6,7,2,4,80389,220.0
79168,145.0,"[93929, 80619, 95150, 95260, 80509, 79167]",5,6,5,7,1,4,95150,220.0
21575,599.0,"[37667, 22916, 21574, 36336, 23026, 37557]",9,5,8,7,4,3,37667,200.0
36336,422.0,"[52428, 37677, 36335, 51097, 37787, 52318]",8,5,7,7,3,1,51097,100.0
51097,267.0,"[65858, 52548, 67079, 67189, 52438, 51096]",7,5,6,7,2,4,67079,220.0
65858,145.0,"[65857, 80619, 67309, 81840, 81950, 67199]",6,5,5,7,1,4,81840,220.0
80619,0.0,['end'],5,5,4,7,0,0,0,0.0
23026,422.0,"[39008, 39118, 24367, 23025, 37787, 24477]",9,4,7,7,3,1,37787,100.0
37787,267.0,"[52548, 39238, 53769, 53879, 39128, 37786]",8,4,6,7,2,4,53769,220.0
52548,145.0,"[68640, 53889, 52547, 67309, 53999, 68530]",7,4,5,7,1,4,68530,220.0
67309,0.0,['end'],6,4,4,7,0,0,0,0.0
36106,599.0,"[52198, 37447, 36105, 50867, 37557, 52088]",8,5,9,6,4,3,52198,200.0
36216,599.0,"[50977, 37667, 52198, 52308, 37557, 36215]",8,5,8,7,4,3,52308,200.0
50977,422.0,"[50976, 65738, 52428, 66959, 67069, 52318]",7,5,7,7,3,1,65738,100.0
37667,422.0,"[39008, 37666, 52428, 39118, 53649, 53759]",8,4,7,7,3,1,52428,100.0
52428,267.0,"[68520, 53769, 52427, 67189, 53879, 68410]",7,4,6,7,2,4,68410,220.0
39118,267.0,"[55210, 40459, 39117, 53879, 40569, 55100]",8,3,6,7,2,4,55100,220.0
53879,145.0,"[68640, 55330, 69861, 69971, 55220, 53878]",7,3,5,7,1,4,69861,220.0
21465,599.0,"[36226, 22916, 37447, 37557, 22806, 21464]",9,5,9,6,4,3,37557,200.0
36226,422.0,"[36225, 50987, 37677, 52208, 52318, 37567]",8,5,8,6,3,1,50987,100.0
50987,267.0,"[67079, 52328, 50986, 65748, 52438, 66969]",7,5,7,6,2,4,66969,220.0
22916,422.0,"[39008, 24257, 22915, 37677, 24367, 38898]",9,4,8,6,3,1,37677,100.0
37677,267.0,"[53769, 39018, 37676, 52438, 39128, 53659]",8,4,7,6,2,4,53659,220.0
52438,145.0,"[53889, 68420, 68530, 53779, 52437, 67199]",7,4,6,6,1,4,68420,220.0
37447,422.0,"[53539, 38788, 37446, 52208, 38898, 53429]",8,4,9,5,3,1,52208,100.0
37557,422.0,"[39008, 53539, 53649, 38898, 37556, 52318]",8,4,8,6,3,1,52318,100.0
39008,267.0,"[53769, 40459, 54990, 55100, 40349, 39007]",8,3,7,6,2,4,54990,220.0
22806,422.0,"[24257, 38788, 38898, 24147, 22805, 37567]",9,4,9,5,3,1,37567,100.0
24257,267.0,"[24256, 39018, 25708, 40239, 40349, 25598]",9,3,8,5,2,4,40239,220.0
38898,267.0,"[54880, 54990, 40239, 38897, 53659, 40349]",8,3,8,5,2,4,54880,220.0
37567,267.0,"[52328, 39018, 53549, 53659, 38908, 37566]",8,4,8,5,2,4,53549,220.0
52328,145.0,"[68420, 53669, 52327, 67089, 53779, 68310]",7,4,7,5,1,4,68310,220.0
39018,145.0,"[55110, 40359, 39017, 53779, 40469, 55000]",8,3,7,5,1,4,55000,220.0
53779,0.0,['end'],7,3,6,5,0,0,0,0.0
23256,267.0,"[38017, 24707, 39238, 39348, 24597, 23255]",9,4,5,8,2,4,39238,220.0
38017,145.0,"[38016, 52778, 39468, 53999, 54109, 39358]",8,4,4,8,1,4,53999,220.0
52778,0.0,['end'],7,4,3,8,0,0,0,0.0
68750,0.0,['end'],6,3,3,8,0,0,0,0.0
49417,764.0,"[65509, 50758, 49416, 64178, 50868, 65399]",7,6,9,6,5,3,65509,200.0
50758,599.0,"[66850, 52099, 50757, 65519, 52209, 66740]",7,5,9,5,4,3,66850,200.0
52099,422.0,"[53440, 52098, 66860, 53550, 68081, 68191]",7,4,9,4,3,1,66860,100.0
53440,267.0,"[68201, 54891, 69422, 69532, 54781, 53439]",7,3,9,3,2,4,69422,220.0
54781,145.0,"[69542, 56232, 70763, 70873, 56122, 54780]",7,2,9,2,1,4,70763,220.0
56122,0.0,['end'],7,1,9,1,0,0,0,0.0
64178,599.0,"[80160, 80270, 65519, 64177, 78939, 65629]",6,6,8,6,4,3,80270,200.0
65519,422.0,"[81611, 66860, 65518, 80280, 66970, 81501]",6,5,8,5,3,1,80280,100.0
66860,267.0,"[82952, 68201, 66859, 81621, 68311, 82842]",6,4,8,4,2,4,82842,220.0
68201,145.0,"[84293, 69542, 68200, 82962, 69652, 84183]",6,3,8,3,1,4,84183,220.0
69542,0.0,['end'],6,2,8,2,0,0,0,0.0
78939,422.0,"[93700, 80390, 94921, 95031, 80280, 78938]",5,6,7,6,3,1,93700,100.0
93700,267.0,"[109792, 95041, 93699, 108461, 95151, 109682]",4,6,6,6,2,4,109682,220.0
80280,267.0,"[95041, 81731, 96262, 96372, 81621, 80279]",5,5,7,5,2,4,96262,220.0
95041,145.0,"[95040, 109802, 96492, 111023, 111133, 96382]",4,5,6,5,1,4,111023,220.0
50868,599.0,"[66850, 66960, 52209, 50867, 65629, 52319]",7,5,8,6,4,3,66960,200.0
52209,422.0,"[68301, 53550, 52208, 66970, 53660, 68191]",7,4,8,5,3,1,66970,100.0
53550,267.0,"[69642, 54891, 53549, 68311, 55001, 69532]",7,3,8,4,2,4,69532,220.0
54891,145.0,"[70983, 56232, 54890, 69652, 56342, 70873]",7,2,8,3,1,4,70873,220.0
56232,0.0,['end'],7,1,8,2,0,0,0,0.0
52319,422.0,"[67080, 53770, 68301, 68411, 53660, 52318]",7,4,7,6,3,1,67080,100.0
53770,267.0,"[69862, 55111, 53769, 68531, 55221, 69752]",7,3,6,6,2,4,69752,220.0
53660,267.0,"[68421, 55111, 69642, 69752, 55001, 53659]",7,3,7,5,2,4,69642,220.0
55001,145.0,"[69762, 56452, 70983, 71093, 56342, 55000]",7,2,7,4,1,4,70983,220.0
56342,0.0,['end'],7,1,7,3,0,0,0,0.0
49416,599.0,"[65508, 50757, 49415, 64177, 50867, 65398]",7,6,9,6,4,3,65508,200.0
50757,422.0,"[66849, 52098, 50756, 65518, 52208, 66739]",7,5,9,5,3,1,65518,100.0
52098,267.0,"[52097, 66859, 53549, 68080, 68190, 53439]",7,4,9,4,2,4,68080,220.0
64177,422.0,"[80269, 65518, 64176, 78938, 65628, 80159]",6,6,8,6,3,1,78938,100.0
65518,267.0,"[81610, 66859, 65517, 80279, 66969, 81500]",6,5,8,5,2,4,81500,220.0
66859,145.0,"[82951, 68200, 66858, 81620, 68310, 82841]",6,4,8,4,1,4,82841,220.0
78938,267.0,"[93699, 80389, 94920, 95030, 80279, 78937]",5,6,7,6,2,4,94920,220.0
93699,145.0,"[95040, 93698, 108460, 95150, 109681, 109791]",4,6,6,6,1,4,109681,220.0
80279,145.0,"[95040, 81730, 96261, 96371, 81620, 80278]",5,5,7,5,1,4,96261,220.0
95040,0.0,['end'],4,5,6,5,0,0,0,0.0
50867,422.0,"[66849, 66959, 52208, 50866, 65628, 52318]",7,5,8,6,3,1,65628,100.0
52208,267.0,"[68300, 53549, 52207, 66969, 53659, 68190]",7,4,8,5,2,4,68190,220.0
52318,267.0,"[67079, 53769, 68300, 68410, 53659, 52317]",7,4,7,6,2,4,68300,220.0
53769,145.0,"[69861, 55110, 53768, 68530, 55220, 69751]",7,3,6,6,1,4,69751,220.0
53659,145.0,"[68420, 55110, 69641, 69751, 55000, 53658]",7,3,7,5,1,4,69641,220.0
49407,918.0,"[64168, 50858, 65389, 65499, 50748, 49406]",7,6,9,7,6,4,65389,220.0
64168,764.0,"[80260, 65509, 64167, 78929, 65619, 80150]",6,6,8,7,5,3,80260,200.0
