,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
98143,145.0,"[112904, 99594, 114125, 114235, 99484, 98142]",4,3,2,9,1,4,114125,220.0
112904,0.0,['end'],3,3,1,9,0,0,0,0.0
99594,0.0,['end'],4,2,1,9,0,0,0,0.0
114235,0.0,['end'],3,2,1,9,0,0,0,0.0
99484,0.0,['end'],4,2,2,8,0,0,0,0.0
97913,267.0,"[112674, 99364, 113895, 114005, 99254, 97912]",4,3,4,8,2,4,113895,220.0
112674,145.0,"[112673, 127435, 114125, 128656, 128766, 114015]",3,3,3,8,1,4,128656,220.0
127435,0.0,['end'],2,3,2,8,0,0,0,0.0
99364,145.0,"[115456, 100705, 99363, 114125, 100815, 115346]",4,2,3,8,1,4,115346,220.0
114125,0.0,['end'],3,2,2,8,0,0,0,0.0
100815,0.0,['end'],4,1,2,8,0,0,0,0.0
113895,145.0,"[129987, 115236, 113894, 128656, 115346, 129877]",3,2,4,7,1,4,129877,220.0
128656,0.0,['end'],2,2,3,7,0,0,0,0.0
129877,0.0,['end'],2,1,4,6,0,0,0,0.0
114005,145.0,"[115456, 129987, 130097, 115346, 114004, 128766]",3,2,3,8,1,4,129987,220.0
115456,0.0,['end'],3,1,2,8,0,0,0,0.0
129987,0.0,['end'],2,1,3,7,0,0,0,0.0
130097,0.0,['end'],2,1,2,8,0,0,0,0.0
128766,0.0,['end'],2,2,2,8,0,0,0,0.0
99254,145.0,"[100705, 115236, 115346, 100595, 99253, 114015]",4,2,4,7,1,4,115236,220.0
100705,0.0,['end'],4,1,3,7,0,0,0,0.0
115236,0.0,['end'],3,1,4,6,0,0,0,0.0
115346,0.0,['end'],3,1,3,7,0,0,0,0.0
100595,0.0,['end'],4,1,4,6,0,0,0,0.0
114015,0.0,['end'],3,2,3,7,0,0,0,0.0
81930,267.0,"[98022, 83271, 81929, 96691, 83381, 97912]",5,4,4,9,2,4,97912,220.0
98022,145.0,"[114114, 99363, 98021, 112783, 99473, 114004]",4,3,3,9,1,4,114004,220.0
114114,0.0,['end'],3,2,2,9,0,0,0,0.0
83271,145.0,"[99363, 84612, 83270, 98032, 84722, 99253]",5,3,4,8,1,4,99253,220.0
84612,0.0,['end'],5,2,4,7,0,0,0,0.0
96691,145.0,"[112673, 112783, 98032, 96690, 111452, 98142]",4,4,3,9,1,4,112673,220.0
112783,0.0,['end'],3,3,2,9,0,0,0,0.0
98032,0.0,['end'],4,3,3,8,0,0,0,0.0
111452,0.0,['end'],3,4,2,9,0,0,0,0.0
83381,145.0,"[84832, 99363, 99473, 84722, 83380, 98142]",5,3,3,9,1,4,99363,220.0
84832,0.0,['end'],5,2,2,9,0,0,0,0.0
99473,0.0,['end'],4,2,2,9,0,0,0,0.0
84722,0.0,['end'],5,2,3,8,0,0,0,0.0
98142,0.0,['end'],4,3,2,9,0,0,0,0.0
97912,145.0,"[112673, 99363, 113894, 114004, 99253, 97911]",4,3,4,8,1,4,113894,220.0
112673,0.0,['end'],3,3,3,8,0,0,0,0.0
99363,0.0,['end'],4,2,3,8,0,0,0,0.0
113894,0.0,['end'],3,2,4,7,0,0,0,0.0
114004,0.0,['end'],3,2,3,8,0,0,0,0.0
99253,0.0,['end'],4,2,4,7,0,0,0,0.0
41020,145.0,"[55781, 42471, 57002, 57112, 42361, 41019]",8,2,1,10,1,4,57002,220.0
55781,0.0,['end'],7,2,0,10,0,0,0,0.0
42471,0.0,['end'],8,1,0,10,0,0,0,0.0
57002,0.0,['end'],7,1,1,9,0,0,0,0.0
57112,0.0,['end'],7,1,0,10,0,0,0,0.0
42361,0.0,['end'],8,1,1,9,0,0,0,0.0
41019,0.0,['end'],8,2,1,10,0,0,0,0.0
8,1142.0,"[16100, 1349, 7, 14769, 1459, 15990]",10,10,10,10,8,4,15990,220.0
16100,990.0,"[32192, 17441, 16099, 30861, 17551, 32082]",9,9,9,10,7,4,32082,220.0
32192,918.0,"[46953, 33643, 48174, 48284, 33533, 32191]",8,8,8,10,6,4,48174,220.0
48284,764.0,"[63045, 49735, 64266, 64376, 49625, 48283]",7,7,7,10,5,3,64376,200.0
64376,599.0,"[79137, 65827, 80358, 80468, 65717, 64375]",6,6,6,10,4,3,80468,200.0
80468,422.0,"[96450, 96560, 81809, 80467, 95229, 81919]",5,5,5,10,3,1,95229,100.0
96560,267.0,"[112652, 97901, 96559, 111321, 98011, 112542]",4,4,4,10,2,4,112542,220.0
112652,145.0,"[128744, 113993, 112651, 127413, 114103, 128634]",3,3,3,10,1,4,128634,220.0
128744,0.0,['end'],2,2,2,10,0,0,0,0.0
1349,990.0,"[17441, 2690, 1348, 16110, 2800, 17331]",10,9,10,9,7,4,17331,220.0
2690,918.0,"[2689, 17451, 4141, 18672, 18782, 4031]",10,8,10,8,6,4,18672,220.0
4031,764.0,"[18792, 5482, 20013, 20123, 5372, 4030]",10,7,10,7,5,3,20123,200.0
5372,599.0,"[20133, 6823, 21354, 21464, 6713, 5371]",10,6,10,6,4,3,21464,200.0
6713,422.0,"[21474, 8164, 22695, 22805, 8054, 6712]",10,5,10,5,3,1,21474,100.0
8054,267.0,"[9505, 24036, 24146, 9395, 8053, 22815]",10,4,10,4,2,4,24036,220.0
9395,145.0,"[25377, 25487, 10736, 9394, 24156, 10846]",10,3,10,3,1,4,25377,220.0
10736,0.0,['end'],10,2,10,2,0,0,0,0.0
14769,990.0,"[30861, 16110, 14768, 29530, 16220, 30751]",9,10,9,10,7,4,30751,220.0
30861,918.0,"[46953, 32202, 30860, 45622, 32312, 46843]",8,9,8,10,6,4,46843,220.0
46953,764.0,"[63045, 48294, 46952, 61714, 48404, 62935]",7,8,7,10,5,3,63045,200.0
63045,599.0,"[79137, 64386, 63044, 77806, 64496, 79027]",6,7,6,10,4,3,79137,200.0
79137,422.0,"[79136, 93898, 80588, 95119, 95229, 80478]",5,6,5,10,3,1,93898,100.0
95229,267.0,"[109990, 96680, 111211, 111321, 96570, 95228]",4,5,4,10,2,4,111211,220.0
111321,145.0,"[126082, 112772, 127303, 127413, 112662, 111320]",3,4,3,10,1,4,127303,220.0
127413,0.0,['end'],2,3,2,10,0,0,0,0.0
16110,918.0,"[32202, 17451, 16109, 30871, 17561, 32092]",9,9,9,9,6,4,32092,220.0
17451,764.0,"[33543, 18792, 17450, 32212, 18902, 33433]",9,8,9,8,5,3,33543,200.0
18792,599.0,"[34884, 20133, 18791, 33553, 20243, 34774]",9,7,9,7,4,3,34884,200.0
20133,422.0,"[36225, 21474, 20132, 34894, 21584, 36115]",9,6,9,6,3,1,34894,100.0
21474,267.0,"[21473, 36235, 22925, 37456, 37566, 22815]",9,5,9,5,2,4,37456,220.0
22815,145.0,"[37576, 24266, 38797, 38907, 24156, 22814]",9,4,9,4,1,4,38797,220.0
24156,0.0,['end'],9,3,9,3,0,0,0,0.0
29530,918.0,"[44291, 30981, 45512, 45622, 30871, 29529]",8,10,8,10,6,4,45512,220.0
