$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
0,0,0,1,1,0,0,1,2,2,97,6199.43603516,0,0,0,2,2,2
0,1,1,0,1,0,1,0,1,1,97,6925.02441406,0,0,2,0,2,2
1,0,1,1,0,0,0,1,0,1,97,7181.68261719,1,3,0,2,0,2
0,0,1,1,0,0,0,0,0,0,97,2799.96240234,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0,2,97,5883.65039062,0,0,0,2,0,2
0,1,0,1,1,0,0,0,1,0,97,5199.44140625,0,0,0,0,2,1
1,0,1,1,1,0,0,0,1,0,97,6937.10009766,1,3,0,0,2,0
0,1,1,1,1,0,0,1,1,0,97,7136.61035156,0,0,0,2,2,0
1,0,1,1,0,0,0,0,0,0,97,5599.41894531,1,3,0,0,0,0
0,1,1,1,1,0,1,0,1,1,97,7925.00390625,0,0,2,0,2,2
0,0,0,1,1,0,0,1,1,1,97,4399.93359375,0,0,0,2,2,1
0,0,1,1,0,0,1,1,1,1,97,5599.41894531,0,0,2,2,2,2
1,0,1,1,0,0,0,1,1,1,97,7524.48632812,0,0,0,2,2,2
0,1,1,0,1,0,0,1,1,2,97,7603.75,0,0,0,2,2,2
1,0,0,1,1,0,0,1,1,1,97,7199.04980469,1,3,0,2,2,2
1,0,1,0,1,0,0,1,1,0,97,6536.59326172,1,3,0,2,2,1
0,1,1,1,0,0,1,0,1,1,97,6924.99951172,0,0,2,0,2,2
0,1,1,0,1,0,0,1,1,1,97,7124.53222656,0,0,0,2,2,2
1,0,1,0,0,0,0,1,1,1,97,6524.51416016,1,3,0,2,2,2
1,0,1,0,0,0,0,0,0,0,97,4599.42333984,1,3,0,0,0,0
1,0,0,1,1,0,0,1,2,2,97,6338.19091797,0,1,0,2,2,2
0,0,1,0,1,0,0,1,1,2,97,6182.09130859,0,0,0,2,2,2
1,0,1,1,1,0,0,1,1,0,97,7536.59228516,1,3,0,2,2,0
1,0,0,0,1,0,0,1,2,2,97,5338.19677734,0,1,0,2,2,2
1,0,1,1,0,0,0,1,1,0,97,6536.59082031,1,3,0,2,2,0
1,1,0,0,1,0,0,0,1,1,97,5999.25048828,1,3,1,0,2,2
1,0,0,0,1,0,0,1,1,1,97,6199.05419922,1,3,0,2,2,1
0,1,0,1,1,0,1,1,2,2,97,6999.24560547,0,0,2,2,2,2
1,1,0,0,0,0,0,0,1,2,97,4770.44287109,0,0,0,0,2,2
0,0,0,1,1,0,1,2,2,2,97,7199.04980469,0,0,2,2,2,2
0,1,1,1,1,0,1,1,0,0,97,7199.04980469,0,0,2,2,0,1
1,0,1,0,1,0,0,0,0,0,97,5599.42285156,1,3,0,0,0,1
0,1,0,1,1,0,1,1,2,1,97,5999.28027344,0,0,2,2,2,1
0,0,1,1,1,0,1,2,1,2,97,8181.68164062,0,0,2,2,2,2
0,1,1,1,1,0,1,0,1,0,97,6937.10009766,0,0,2,0,2,0
0,1,0,1,1,0,0,0,0,0,96,4399.93359375,0,0,0,0,0,1
1,0,0,0,0,0,0,1,1,1,96,5199.05419922,1,3,0,2,2,0
0,1,0,1,1,0,0,0,0,1,96,5399.92871094,0,0,0,0,0,2
0,0,0,0,1,0,0,1,1,1,96,3399.93481445,0,0,0,2,2,1
1,0,0,0,1,0,0,0,1,1,96,5599.42236328,1,3,0,0,2,1
1,0,1,0,0,0,0,0,0,0,96,4599.42285156,1,3,0,0,0,0
1,0,0,0,1,0,0,1,1,2,96,4890.69140625,0,0,0,2,2,2
1,1,0,1,0,0,0,0,1,0,96,4999.27880859,1,3,1,0,2,0
0,1,0,1,1,0,0,1,2,2,96,6599.43017578,0,0,1,2,2,2
0,0,1,1,1,0,1,2,2,0,96,6536.59423828,0,0,2,2,2,0
0,0,1,1,1,0,1,2,2,2,96,8524.41699219,0,0,2,2,2,2
1,0,1,1,1,0,0,0,1,0,96,6937.09960938,1,3,0,0,2,0
0,1,1,0,1,0,1,0,1,0,96,5937.10205078,0,0,2,0,2,1
0,0,0,0,1,0,1,1,1,1,96,3799.91503906,0,0,2,2,2,1
0,1,0,1,0,0,0,0,0,0,96,3399.93481445,0,0,0,0,0,0
0,1,0,1,0,0,1,1,1,2,96,6556.71630859,0,0,2,2,2,2
0,1,1,0,1,0,0,0,1,2,96,7001.00195312,0,0,0,0,2,2
0,0,1,0,1,0,0,1,0,2,96,5382.47265625,0,0,0,2,0,2
1,0,0,1,0,0,0,1,2,2,96,5338.19189453,0,1,0,2,2,2
1,0,0,0,1,0,0,0,1,2,96,4290.79785156,0,0,0,0,2,2
0,0,1,0,1,0,1,2,1,2,96,7181.59960938,0,0,2,2,2,2
0,1,0,1,1,0,0,1,0,1,96,5999.56054688,0,0,0,2,0,2
0,0,1,0,1,0,0,0,0,1,96,3799.9621582,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,96,3399.93481445,0,0,0,0,0,2
0,1,0,1,0,0,1,1,1,0,96,5199.0546875,0,0,2,2,2,0
0,0,1,1,1,0,1,2,0,2,96,7382.06005859,0,0,2,2,0,2
0,1,0,1,1,0,0,1,1,1,96,6799.06835938,0,0,0,2,2,2
0,0,1,0,1,0,1,0,1,1,96,4999.45117188,0,0,2,0,2,0
1,1,0,0,0,0,0,0,1,1,96,4999.24902344,0,0,1,0,2,2
1,1,0,1,0,0,0,0,0,0,96,6199.05029297,1,3,0,0,0,0
0,0,1,0,1,0,0,0,0,0,96,2799.96240234,0,0,0,0,0,1
0,0,1,1,1,0,1,2,1,2,96,8181.57763672,0,0,2,2,2,2
0,1,1,1,1,0,0,0,1,0,96,6537.11816406,0,0,0,0,2,0
1,1,0,1,0,0,0,0,0,1,96,6556.71630859,0,0,0,0,0,2
1,1,0,0,0,0,0,0,1,2,96,4763.08740234,0,0,0,0,2,2
0,0,0,1,1,0,0,2,2,2,96,6799.06835938,0,0,0,2,2,2
0,1,1,0,1,0,1,0,0,1,96,6581.96875,0,0,2,0,0,2
1,0,1,0,0,0,0,0,0,1,96,5581.97070312,1,3,0,0,0,2
0,0,1,0,1,0,1,1,1,2,96,6581.96875,0,0,2,2,2,2
0,0,1,1,1,0,1,2,1,1,96,7199.04980469,0,0,2,2,2,2
0,1,0,1,1,0,0,1,1,2,96,7156.77294922,0,0,0,2,2,2
0,1,0,1,1,0,0,0,1,1,96,6199.43652344,0,0,0,0,2,2
0,1,0,1,1,0,0,1,1,0,96,5799.07275391,0,0,0,2,2,1
1,0,1,1,1,0,0,1,1,0,96,7536.59179688,1,3,0,2,2,0
0,1,0,1,1,0,0,0,2,2,96,5999.45751953,0,0,1,0,2,2
0,1,0,0,1,0,1,0,2,2,96,5399.27636719,0,0,2,0,2,2
1,1,0,1,0,0,0,0,1,1,96,5999.24365234,0,0,1,0,2,2
0,1,0,1,1,0,0,1,2,1,96,5599.43994141,0,0,1,2,2,1
0,1,1,0,0,0,0,0,0,0,96,4199.44189453,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,2,96,4399.93359375,0,0,0,2,2,1
0,1,0,1,0,0,1,1,1,1,96,6199.05078125,0,0,2,2,2,2
0,1,0,1,1,0,0,0,1,0,96,5199.44140625,0,0,0,0,2,1
1,0,1,0,0,0,0,1,0,2,96,4869.88476562,0,0,0,2,0,2
0,0,0,1,1,0,1,0,2,2,96,5999.4453125,0,0,2,0,2,2
0,0,1,0,1,0,0,1,1,1,96,5199.44140625,0,0,0,2,2,1
0,0,1,1,1,0,1,2,2,1,96,7536.59228516,0,0,2,2,2,2
0,0,0,1,1,0,1,0,1,1,96,4199.94335938,0,0,2,0,2,0
0,1,0,1,0,0,1,1,2,1,96,4999.27929688,0,0,2,2,2,2
0,0,1,1,1,0,0,2,1,2,96,7781.59570312,0,0,0,2,2,2
0,1,0,1,0,0,1,0,2,2,96,5399.27197266,0,0,2,0,2,2
0,1,1,1,1,0,0,0,0,1,96,7181.96777344,0,0,0,0,0,2
1,1,0,0,0,0,0,0,0,0,96,5199.05419922,1,3,0,0,0,0
1,0,1,1,0,0,0,0,0,0,96,5599.41845703,1,3,0,0,0,0
1,0,1,0,0,0,0,1,1,2,96,5589.41943359,0,0,0,2,2,2
1,1,1,1,1,0,0,0,0,0,96,8524.33496094,1,3,3,0,0,0
0,1,1,1,0,0,1,0,0,1,96,6581.95068359,0,0,2,0,0,2
0,0,1,1,0,0,1,1,0,1,96,4799.91113281,0,0,2,2,0,2
0,0,0,1,0,0,0,1,2,2,96,5199.43701172,0,0,0,2,2,2
0,1,0,1,0,0,1,0,1,1,96,5599.41894531,0,0,2,0,2,2
1,0,1,0,0,0,0,0,1,1,96,5924.953125,1,3,0,0,2,2
0,1,0,1,0,0,0,1,1,1,96,5799.06933594,0,0,0,2,2,2
0,1,1,0,1,0,1,1,0,0,96,6199.05419922,0,0,2,2,0,1
1,0,0,1,0,0,0,1,1,0,96,5199.05419922,1,3,0,2,2,0
1,0,0,0,1,0,0,1,2,2,96,5338.19677734,0,1,0,2,2,2
0,0,1,0,1,0,1,1,2,2,96,6924.95166016,0,0,2,2,2,2
0,0,0,1,1,0,1,2,2,2,96,7199.04980469,0,0,2,2,2,2
0,0,1,1,0,0,1,1,1,0,96,4599.42333984,0,0,2,2,2,0
1,0,1,0,1,0,0,1,1,0,96,6536.59277344,1,3,0,2,2,1
0,0,1,1,0,0,1,1,1,1,96,5599.41894531,0,0,2,2,2,2
0,0,1,0,1,0,0,1,1,2,96,6181.98730469,0,0,0,2,2,2
1,0,0,0,1,0,0,1,2,1,96,4338.19970703,0,1,0,2,2,1
0,0,0,1,1,0,1,2,2,1,96,6199.05419922,0,0,2,2,2,1
0,0,1,1,0,0,1,1,2,2,96,6924.92675781,0,0,2,2,2,2
0,1,1,1,0,0,1,0,1,0,96,5937.10009766,0,0,2,0,2,0
0,0,0,1,1,0,1,2,1,2,96,6399.54199219,0,0,2,2,2,2
1,0,0,0,0,0,0,1,2,2,96,4338.19677734,0,1,0,2,2,2
0,0,1,1,1,0,1,1,1,2,96,7581.94824219,0,0,2,2,2,2
0,1,0,1,1,0,1,1,2,2,96,6999.24365234,0,0,2,2,2,2
0,1,1,1,0,0,1,0,1,1,96,6924.92675781,0,0,2,0,2,2
0,0,0,1,0,0,0,1,1,1,96,3399.93481445,0,0,0,2,2,2
0,1,0,1,1,0,1,1,2,1,96,5999.27880859,0,0,2,2,2,1
1,0,1,0,1,0,0,0,1,2,96,5989.45214844,0,0,0,0,2,2
0,0,1,1,0,0,1,0,1,1,96,4999.44677734,0,0,2,0,2,2
1,0,1,1,0,0,0,0,0,1,96,6581.95068359,1,3,0,0,0,2
0,1,1,0,1,0,1,1,1,1,96,7524.43994141,0,0,2,2,2,2
0,0,1,1,0,0,0,1,1,0,96,4199.44189453,0,0,0,2,2,0
0,1,1,0,1,0,1,1,1,0,96,6536.59375,0,0,2,2,2,0
0,0,1,1,0,0,0,0,1,1,96,4599.46484375,0,0,0,0,2,2
0,1,0,0,1,0,1,1,1,2,96,6556.73339844,0,0,2,2,2,2
0,0,1,1,0,0,0,1,0,1,96,4399.92919922,0,0,0,2,0,2
0,0,1,1,0,0,0,1,1,1,96,5199.43701172,0,0,0,2,2,2
0,1,1,1,0,0,0,1,1,1,96,7124.43261719,0,0,0,2,2,2
0,1,1,1,0,0,0,1,0,1,96,6781.59667969,0,0,0,2,0,2
1,0,0,1,1,0,0,1,0,2,96,5090.83251953,0,0,0,2,0,2
0,1,1,0,1,0,1,1,0,2,96,7517.52783203,0,0,2,2,0,2
1,0,0,0,1,0,0,1,0,2,96,4090.83862305,0,0,0,2,0,2
0,0,0,1,1,0,0,1,0,1,96,3599.97143555,0,0,0,2,0,1
